[2026-04-19 12:06:08] [00006s] [WIFI] Connected! IP: 10.77.144.42 MAC: EC:E3:34:19:76:98
[2026-04-19 12:06:13] [00008s] [INFO] Node Online: Auto-Started Data Collection
[2026-04-19 12:06:13] [00011s] [DATA] VOC: 0.57V
[2026-04-19 12:07:46] [00105s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00106s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00107s] [DATA] CO: 0 ppm
[2026-04-19 12:07:50] [00108s] [DATA] CO: 0 ppm
[2026-04-19 12:07:51] [00110s] [DATA] CO: 0 ppm
[2026-04-19 12:07:51] [00111s] [DATA] CO: 0 ppm
[2026-04-19 12:07:52] [00111s] [DATA] CO: 0 ppm
[2026-04-19 12:07:53] [00112s] [DATA] CO: 0 ppm
[2026-04-19 12:07:53] [00112s] [DATA] CO: 0 ppm
[2026-04-19 12:07:57] [00117s] [DATA] CO2: 562 ppm
[2026-04-19 12:07:58] [00117s] [DATA] VOC: 0.52V
[2026-04-19 12:07:59] [00118s] [DATA] CO: 0 ppm
[2026-04-19 12:07:59] [00119s] [DATA] CO: 0 ppm
[2026-04-19 12:08:00] [00119s] [DATA] CO: 0 ppm
[2026-04-19 12:08:01] [00120s] [DATA] CO: 0 ppm
[2026-04-19 12:08:01] [00120s] [DATA] CO: 0 ppm
[2026-04-19 12:08:02] [00121s] [DATA] CO: 0 ppm
[2026-04-19 12:08:02] [00121s] [DATA] CO: 0 ppm
[2026-04-19 12:08:03] [00122s] [DATA] CO: 0 ppm
[2026-04-19 12:08:04] [00123s] [DATA] CO: 0 ppm
[2026-04-19 12:08:05] [00124s] [DATA] CO: 0 ppm
[2026-04-19 12:08:06] [00125s] [DATA] CO: 0 ppm
[2026-04-19 12:08:06] [00125s] [DATA] CO: 0 ppm
[2026-04-19 12:08:07] [00126s] [DATA] CO: 0 ppm
[2026-04-19 12:08:07] [00127s] [DATA] CO: 0 ppm
[2026-04-19 12:08:08] [00127s] [DATA] CO: 0 ppm
[2026-04-19 12:08:10] [00129s] [DATA] CO2: 543 ppm
[2026-04-19 12:08:10] [00130s] [DATA] VOC: 0.55V
[2026-04-19 12:08:11] [00130s] [DATA] CO: 0 ppm
[2026-04-19 12:08:12] [00131s] [DATA] CO: 0 ppm
[2026-04-19 12:08:13] [00132s] [DATA] CO: 0 ppm
[2026-04-19 12:08:13] [00132s] [DATA] CO: 0 ppm
[2026-04-19 12:08:14] [00133s] [DATA] CO: 0 ppm
[2026-04-19 12:08:14] [00134s] [DATA] CO: 0 ppm
[2026-04-19 12:08:15] [00134s] [DATA] CO: 0 ppm
[2026-04-19 12:08:16] [00136s] [DATA] CO2: 543 ppm
[2026-04-19 12:08:17] [00137s] [DATA] VOC: 0.52V
[2026-04-19 12:08:18] [00137s] [DATA] CO: 0 ppm
[2026-04-19 12:08:19] [00138s] [DATA] CO: 0 ppm
[2026-04-19 12:08:19] [00138s] [DATA] CO: 0 ppm
[2026-04-19 12:08:20] [00139s] [DATA] CO: 0 ppm
[2026-04-19 12:08:20] [00140s] [DATA] CO: 0 ppm
[2026-04-19 12:08:22] [00141s] [DATA] CO2: 530 ppm
[2026-04-19 12:08:23] [00142s] [DATA] VOC: 0.55V
[2026-04-19 12:08:24] [00143s] [DATA] CO: 0 ppm
[2026-04-19 12:08:24] [00144s] [DATA] CO: 0 ppm
[2026-04-19 12:08:25] [00144s] [DATA] CO: 0 ppm
[2026-04-19 12:08:26] [00145s] [DATA] CO: 0 ppm
[2026-04-19 12:08:27] [00146s] [DATA] CO: 0 ppm
[2026-04-19 12:08:27] [00147s] [DATA] CO: 0 ppm
[2026-04-19 12:08:28] [00147s] [DATA] CO: 0 ppm
[2026-04-19 12:08:29] [00148s] [DATA] CO: 0 ppm
[2026-04-19 12:08:29] [00149s] [DATA] CO: 0 ppm
[2026-04-19 12:08:31] [00150s] [DATA] CO2: 537 ppm
[2026-04-19 12:08:32] [00151s] [DATA] VOC: 0.56V
[2026-04-19 12:08:33] [00152s] [DATA] CO: 0 ppm
[2026-04-19 12:08:33] [00153s] [DATA] CO: 0 ppm
[2026-04-19 12:08:34] [00153s] [DATA] CO: 0 ppm
[2026-04-19 12:08:34] [00154s] [DATA] CO: 0 ppm
[2026-04-19 12:08:35] [00154s] [DATA] CO: 0 ppm
[2026-04-19 12:08:36] [00155s] [DATA] CO: 0 ppm
[2026-04-19 12:08:36] [00156s] [DATA] CO: 0 ppm
[2026-04-19 12:08:38] [00157s] [DATA] CO2: 513 ppm
[2026-04-19 12:08:38] [00158s] [DATA] VOC: 0.52V
[2026-04-19 12:08:39] [00158s] [DATA] CO: 0 ppm
[2026-04-19 12:08:40] [00159s] [DATA] CO: 0 ppm
[2026-04-19 12:08:40] [00159s] [DATA] CO: 0 ppm
[2026-04-19 12:08:41] [00160s] [DATA] CO: 0 ppm
[2026-04-19 12:08:42] [00161s] [DATA] CO: 0 ppm
[2026-04-19 12:08:49] [00162s] [DATA] CO: 0 ppm
[2026-04-19 12:08:49] [00164s] [DATA] CO: 0 ppm
[2026-04-19 12:08:49] [00166s] [DATA] CO: 0 ppm
[2026-04-19 12:08:49] [00167s] [DATA] CO: 0 ppm
[2026-04-19 12:08:51] [00169s] [DATA] CO: 0 ppm
[2026-04-19 12:08:51] [00170s] [DATA] CO: 0 ppm
[2026-04-19 12:08:52] [00171s] [DATA] CO: 0 ppm
[2026-04-19 12:08:53] [00172s] [DATA] CO: 0 ppm
[2026-04-19 12:08:54] [00173s] [DATA] CO: 0 ppm
[2026-04-19 12:08:55] [00174s] [DATA] CO: 0 ppm
[2026-04-19 12:08:55] [00174s] [DATA] CO: 0 ppm
[2026-04-19 12:08:56] [00175s] [DATA] CO: 11 ppm
[2026-04-19 12:08:57] [00176s] [DATA] CO: 12 ppm
[2026-04-19 12:08:58] [00177s] [DATA] CO: 12 ppm
[2026-04-19 12:08:58] [00178s] [DATA] CO: 12 ppm
[2026-04-19 12:08:59] [00178s] [DATA] CO: 13 ppm
[2026-04-19 12:08:59] [00179s] [DATA] CO: 12 ppm
[2026-04-19 12:09:00] [00180s] [DATA] CO: 11 ppm
[2026-04-19 12:09:01] [00180s] [DATA] CO: 12 ppm
[2026-04-19 12:09:02] [00181s] [DATA] CO: 14 ppm
[2026-04-19 12:09:02] [00182s] [DATA] CO: 13 ppm
[2026-04-19 12:09:06] [00186s] [DATA] CO2: 539 ppm
[2026-04-19 12:09:07] [00186s] [DATA] VOC: 0.56V
[2026-04-19 12:09:07] [00187s] [DATA] CO: 12 ppm
[2026-04-19 12:09:08] [00188s] [DATA] CO: 13 ppm
[2026-04-19 12:09:09] [00188s] [DATA] CO: 14 ppm
[2026-04-19 12:09:10] [00189s] [DATA] CO: 15 ppm
[2026-04-19 12:09:10] [00190s] [DATA] CO: 15 ppm
[2026-04-19 12:09:11] [00190s] [DATA] CO: 15 ppm
[2026-04-19 12:09:12] [00191s] [DATA] CO: 16 ppm
[2026-04-19 12:09:13] [00192s] [DATA] CO: 16 ppm
[2026-04-19 12:09:13] [00193s] [DATA] CO: 17 ppm
[2026-04-19 12:09:14] [00193s] [DATA] CO: 17 ppm
[2026-04-19 12:09:15] [00194s] [DATA] CO: 18 ppm
[2026-04-19 12:09:15] [00194s] [DATA] CO: 18 ppm
[2026-04-19 12:09:16] [00195s] [DATA] CO: 17 ppm
[2026-04-19 12:09:17] [00196s] [DATA] CO: 17 ppm
[2026-04-19 12:09:17] [00196s] [DATA] CO: 19 ppm
[2026-04-19 12:09:19] [00198s] [DATA] CO2: 510 ppm
[2026-04-19 12:09:20] [00199s] [DATA] VOC: 0.55V
[2026-04-19 12:09:20] [00200s] [DATA] CO: 18 ppm
[2026-04-19 12:09:21] [00200s] [DATA] CO: 17 ppm
[2026-04-19 12:09:22] [00201s] [DATA] CO: 17 ppm
[2026-04-19 12:09:22] [00202s] [DATA] CO: 17 ppm
[2026-04-19 12:09:23] [00202s] [DATA] CO: 16 ppm
[2026-04-19 12:09:23] [00203s] [DATA] CO: 16 ppm
[2026-04-19 12:09:25] [00204s] [DATA] CO2: 516 ppm
[2026-04-19 12:09:26] [00205s] [DATA] VOC: 0.55V
[2026-04-19 12:09:26] [00206s] [DATA] CO: 14 ppm
[2026-04-19 12:09:27] [00206s] [DATA] CO: 16 ppm
[2026-04-19 12:09:28] [00207s] [DATA] CO: 15 ppm
[2026-04-19 12:09:29] [00208s] [DATA] CO: 15 ppm
[2026-04-19 12:09:30] [00209s] [DATA] CO: 16 ppm
[2026-04-19 12:09:30] [00210s] [DATA] CO: 15 ppm
[2026-04-19 12:09:31] [00210s] [DATA] CO: 14 ppm
[2026-04-19 12:09:32] [00211s] [DATA] CO: 16 ppm
[2026-04-19 12:12:39] [00149s] [DATA] CO2: 526ppm | VOC: 0.52V | CO: 0ppm
[2026-04-19 12:12:41] [00155s] [DATA] CO2: 528ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:12:46] [00160s] [DATA] CO2: 528ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:12:55] [00165s] [DATA] CO2: 526ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:12:57] [00170s] [DATA] CO2: 526ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:13:02] [00175s] [DATA] CO2: 526ppm | VOC: 0.54V | CO: 0ppm
[2026-04-19 12:13:09] [00182s] [DATA] CO2: 529ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:13:14] [00187s] [DATA] CO2: 527ppm | VOC: 0.55V | CO: 0ppm
[2026-04-19 12:13:22] [00192s] [DATA] CO2: 528ppm | VOC: 0.55V | CO: 0ppm
[2026-04-19 12:13:27] [00197s] [DATA] CO2: 531ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:13:29] [00202s] [DATA] CO2: 537ppm | VOC: 0.53V | CO: 0ppm
[2026-04-19 12:13:37] [00210s] [DATA] CO2: 533ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:13:42] [00215s] [DATA] CO2: 571ppm | VOC: 0.55V | CO: 0ppm
[2026-04-19 12:13:48] [00220s] [DATA] CO2: 565ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:13:52] [00225s] [DATA] CO2: 566ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:13:57] [00230s] [DATA] CO2: 557ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:14:31] [00014s] [WIFI] Connected! MAC: EC:E3:34:19:76:98
[2026-04-19 12:14:31] [00015s] [INFO] Node Online: Auto-Started Data Collection
[2026-04-19 12:14:32] [00016s] [DATA] CO2: 529ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:14:37] [00021s] [DATA] CO2: 520ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:14:42] [00026s] [DATA] CO2: 525ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:14:47] [00031s] [DATA] CO2: 525ppm | VOC: 0.60V | CO: 0ppm
[2026-04-19 12:14:52] [00036s] [DATA] CO2: 528ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:14:57] [00041s] [DATA] CO2: 530ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:15:02] [00046s] [DATA] CO2: 532ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:15:17] [00060s] [DATA] CO2: 531ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:15:21] [00065s] [DATA] CO2: 526ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:15:29] [00070s] [DATA] CO2: 507ppm | VOC: 0.57V | CO: 0ppm
[2026-04-19 12:16:00] [00075s] [DATA] CO2: 514ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:16:00] [00080s] [DATA] CO2: 517ppm | VOC: 0.58V | CO: 0ppm
[2026-04-19 12:16:00] [00085s] [DATA] CO2: 504ppm | VOC: 0.56V | CO: 0ppm
[2026-04-19 12:16:00] [00090s] [DATA] CO2: 523ppm | VOC: 0.61V | CO: 0ppm
[2026-04-19 12:16:00] [00095s] [DATA] CO2: 524ppm | VOC: 0.56V | CO: 0ppm
