[2026-07-02 14:48:07] ADS value: 23.64, Ver: 106
[2026-07-02 14:49:08] ADS value: 23.65, Ver: 106
[2026-07-02 14:51:10] ADS value: 23.66, Ver: 106
[2026-07-02 14:52:44] ADS value: 23.66, Ver: 106
[2026-07-02 14:53:14] ADS value: 23.64, Ver: 106
[2026-07-02 14:53:45] ADS value: 23.66, Ver: 106
[2026-07-02 14:56:16] ADS value: 23.65, Ver: 106
[2026-07-02 14:56:47] ADS value: 23.66, Ver: 106
[2026-07-02 14:57:18] ADS value: 23.66, Ver: 106
[2026-07-02 14:59:49] ADS value: 23.65, Ver: 106
[2026-07-02 15:00:50] ADS value: 23.66, Ver: 106
[2026-07-02 15:03:51] ADS value: 23.63, Ver: 106
[2026-07-02 15:04:55] ADS value: 23.65, Ver: 106
[2026-07-02 15:05:26] ADS value: 23.65, Ver: 106
[2026-07-02 15:05:56] ADS value: 23.63, Ver: 106
[2026-07-02 15:08:33] ADS value: 23.65, Ver: 106
[2026-07-02 15:11:04] ADS value: 23.64, Ver: 106
[2026-07-02 15:14:10] ADS value: 23.63, Ver: 106
[2026-07-02 15:15:11] ADS value: 23.64, Ver: 106
[2026-07-02 15:17:16] ADS value: 23.62, Ver: 106
[2026-07-02 15:20:21] ADS value: 23.64, Ver: 106
[2026-07-02 15:21:22] ADS value: 23.60, Ver: 106
[2026-07-02 15:23:23] ADS value: 23.64, Ver: 106
[2026-07-02 15:24:24] ADS value: 23.64, Ver: 106
[2026-07-02 15:25:58] ADS value: 23.64, Ver: 106
[2026-07-02 15:26:59] ADS value: 23.64, Ver: 106
[2026-07-02 15:27:30] ADS value: 23.64, Ver: 106
[2026-07-02 15:30:02] ADS value: 23.62, Ver: 106
[2026-07-02 15:30:32] ADS value: 23.64, Ver: 106
[2026-07-02 15:31:03] ADS value: 23.64, Ver: 106
[2026-07-02 15:33:34] ADS value: 23.64, Ver: 106
[2026-07-02 15:34:05] ADS value: 23.64, Ver: 106
[2026-07-02 15:34:36] ADS value: 23.63, Ver: 106
[2026-07-02 15:37:07] ADS value: 23.64, Ver: 106
[2026-07-02 15:37:38] ADS value: 23.64, Ver: 106
[2026-07-02 15:38:08] ADS value: 23.64, Ver: 106
[2026-07-02 15:40:40] ADS value: 23.64, Ver: 106
[2026-07-02 15:41:41] ADS value: 23.64, Ver: 106
[2026-07-02 15:43:42] ADS value: 23.61, Ver: 106
[2026-07-02 15:44:43] ADS value: 23.64, Ver: 106
[2026-07-02 15:45:13] ADS value: 23.64, Ver: 106
[2026-07-02 15:47:45] ADS value: 23.64, Ver: 106
[2026-07-02 15:48:15] ADS value: 23.63, Ver: 106
[2026-07-02 15:48:52] ADS value: 23.62, Ver: 106
[2026-07-02 15:51:25] ADS value: 23.62, Ver: 106
[2026-07-02 15:51:56] ADS value: 23.62, Ver: 106
[2026-07-02 15:52:26] ADS value: 23.63, Ver: 106
[2026-07-02 15:55:03] ADS value: 23.64, Ver: 106
[2026-07-02 15:58:09] ADS value: 23.64, Ver: 106
[2026-07-02 15:59:10] ADS value: 23.62, Ver: 106
[2026-07-02 15:59:40] ADS value: 23.64, Ver: 106
[2026-07-02 16:02:12] ADS value: 23.63, Ver: 106
[2026-07-02 16:02:42] ADS value: 23.62, Ver: 106
[2026-07-02 16:03:13] ADS value: 23.64, Ver: 106
[2026-07-02 16:05:44] ADS value: 23.63, Ver: 106
[2026-07-02 16:06:15] ADS value: 23.62, Ver: 106
[2026-07-02 16:06:52] ADS value: 23.63, Ver: 106
[2026-07-02 16:09:23] ADS value: 23.63, Ver: 106
[2026-07-02 16:09:54] ADS value: 23.63, Ver: 106
[2026-07-02 16:10:25] ADS value: 23.63, Ver: 106
[2026-07-02 16:12:56] ADS value: 23.63, Ver: 106
[2026-07-02 16:13:57] ADS value: 23.63, Ver: 106
[2026-07-02 16:16:28] ADS value: 23.63, Ver: 106
[2026-07-02 16:16:59] ADS value: 23.62, Ver: 106
[2026-07-02 16:17:29] ADS value: 23.62, Ver: 106
[2026-07-02 16:20:01] ADS value: 23.63, Ver: 106
[2026-07-02 16:20:31] ADS value: 23.62, Ver: 106
[2026-07-02 16:21:02] ADS value: 23.62, Ver: 106
[2026-07-02 16:23:33] ADS value: 23.63, Ver: 106
[2026-07-02 16:24:04] ADS value: 23.62, Ver: 106
[2026-07-02 16:24:35] ADS value: 23.62, Ver: 106
[2026-07-02 16:27:06] ADS value: 23.62, Ver: 106
